frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score,entry_time
187,2.0,[841.4093404173362 395.7143238006498 1308.8864239238455 757.871446783283],[974.8599243164062 641.093994140625 1101.140380859375 682.8327026367188],0.5326143503189087,KA02MM9091,0.27284051152186456,2024-05-04 10:35:33,
196,2.0,[794.5067591118202 406.94293583688136 1286.0539869386305 776.6871840881565],[923.7279052734375 658.9304809570312 1057.805419921875 706.5406494140625],0.6091622114181519,KA02MM9091,0.4091404643412652,2024-05-04 10:35:33,
197,2.0,[783.9533174333756 406.66624955121983 1284.4449724928145 780.8508750725823],[923.7372436523438 658.9318237304688 1057.80224609375 706.5418090820312],0.6091009974479675,KA02MM9091,0.4091404643412652,2024-05-04 10:35:33,
198,2.0,[778.4872116589968 405.84544190518557 1285.4431948506463 783.1789921704659],[923.7401733398438 658.946044921875 1057.794189453125 706.54248046875],0.6089269518852234,KA02MM9091,0.4091404643412652,2024-05-04 10:35:33,
199,2.0,[775.3989564664311 404.9258871172502 1287.0283163962013 784.536533865814],[923.7451171875 658.947021484375 1057.7918701171875 706.5340576171875],0.6087056398391724,KA02MM9091,0.4091404643412652,2024-05-04 10:35:33,
200,2.0,[773.5016850697637 404.1890614186782 1288.5917721427434 785.408336156737],[923.7447509765625 658.9436645507812 1057.80322265625 706.5437622070312],0.6091815829277039,KA02MM9091,0.4091404643412652,2024-05-04 10:35:33,
201,2.0,[772.2816992913063 403.5848409919415 1289.8625366119659 786.0716109014843],[923.7369384765625 658.923828125 1057.821533203125 706.56591796875],0.6095982193946838,KA02MM9091,0.4091404643412652,2024-05-04 10:35:33,
210,2.0,[688.8242992230026 408.1070364047202 1271.0754856117978 840.0757320409314],[834.7738037109375 709.5843505859375 1014.904541015625 770.8646850585938],0.6364759802818298,KA02MM9091,0.7746441223999999,2024-05-04 10:35:33,
211,2.0,[675.7869826843781 406.9779902260699 1271.2908663406852 850.4283860728225],[834.7677612304688 709.5924072265625 1014.9003295898438 770.8657836914062],0.636513352394104,KA02MM9091,0.7746441223999999,2024-05-04 10:35:33,
212,2.0,[668.8040471443413 404.52603446053456 1273.707880048606 856.2093568835329],[834.7688598632812 709.5908813476562 1014.8886108398438 770.8779296875],0.6363746523857117,KA02MM9091,0.7746441223999999,2024-05-04 10:35:33,
213,2.0,[664.7449988351452 402.1096139163882 1276.3617650274673 859.7430268702943],[834.765380859375 709.5904541015625 1014.898681640625 770.8811645507812],0.6362409591674805,KA02MM9091,0.7746441223999999,2024-05-04 10:35:33,
214,2.0,[662.1931953952195 400.089834738088 1278.6358273152919 862.0171292922612],[834.77001953125 709.588623046875 1014.8916015625 770.8780517578125],0.6363043785095215,KA02MM9091,0.7746441223999999,2024-05-04 10:35:33,
215,2.0,[660.5324552016637 398.5606351351664 1280.4211869705437 863.6101023433098],[834.7857055664062 709.6034545898438 1014.8618774414062 770.8588256835938],0.6371778249740601,KA02MM9091,0.7746441223999999,2024-05-04 10:35:33,
216,2.0,[653.0516210087642 396.8671723401384 1277.8435420145438 867.8748611691761],[824.0988159179688 717.2466430664062 1014.9000244140625 775.9808349609375],0.5979830622673035,KA02MM9091,0.9920614557620397,2024-05-04 10:35:33,
