frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score,entry_time
1,5.0,[1101.1153865345693 581.4050738178463 1391.9763103871326 870.1820302327325],[1205.7008056640625 774.5379638671875 1291.9638671875 821.0694580078125],0.5838017463684082,NO51TSU,0.02587153394009213,2024-05-01 14:21:44,
1,3.0,[375.30210894634956 687.1833404764913 712.6544325867453 995.0576565148632],[486.8983154296875 882.2964477539062 601.8140258789062 931.5078735351562],0.5309780240058899,MA13MRU,0.2354133498816875,2024-05-01 14:21:44,
3,3.0,[371.6922343444354 693.5033825204277 713.4838333940339 1005.2577570487549],[478.9529113769531 891.9331665039062 593.3593139648438 942.71435546875],0.5247106552124023,NA13NRU,0.26706971063135737,2024-05-01 14:21:44,
